postalcode	city	community	identifer	usercount
11865	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	60
11866	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	47
11867	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	79
11869	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	36
12030	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	29
12032	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	3
12038	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	107
12039	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	94
12044	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	1
12047	Enskede Gård	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	39
12048	Enskede Gård	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	63
12050	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	129
12051	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	113
12052	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	123
12053	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	108
12053	Hägersten	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	1
12054	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	90
12055	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	75
12056	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	99
12057	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	146
12058	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	70
12059	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	45
12060	Årsta	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	93
12061	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	115
12062	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	50
12063	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	84
12064	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	90
12065	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	125
12066	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	141
